Transaction Date,Month,Buyer First Name,Buyer Last Name,Full Name,Buyer Location,Buyer Date of Birth,Age,Age Category,Payment Method,Quantity Purchased,Product Code,Biscuit Brand,Cost,Unit Price,Revenue,Total Cost of Goods,Profit,Product Price Category,Sales Representative,Gender
2024-04-24,Apr,Roger,Atkins,Roger Atkins,San Diego,1947-05-21,78,70above,Debit Card,496,Pro05,Ginger Snaps,14,28,13888,6944,6944,High Price,Joseph Hill,Male
2024-03-28,Mar,Peter,Munoz,Peter Munoz,Philadelphia,1946-12-23,78,70above,Cash,401,Pro04,Cinnamon Swirls,10,14,5614,4010,1604,High Price,Tracy Lee,Male
2024-02-12,Feb,Laura,Baker,Laura Baker,New York,1996-09-06,29,11-30,Debit Card,150,Pro05,Ginger Snaps,14,28,4200,2100,2100,High Price,Sara Robertson,Male
2024-02-17,Feb,Theresa,Robertson,Theresa Robertson,Los Angeles,1990-08-23,35,31-50,Credit Card,328,Pro05,Ginger Snaps,14,28,9184,4592,4592,High Price,Travis Doyle,Male
2024-04-03,Apr,Kevin,Barry,Kevin Barry,San Antonio,2004-11-17,20,11-30,Mobile Payment,313,Pro08,Peanut Butter Bites,5,7,2191,1565,626,Low Price,Joseph Hill,Male
2024-01-11,Jan,Elijah,Francis,Elijah Francis,Philadelphia,1952-09-04,73,70above,Mobile Payment,148,Pro01,Butter Crunch,10,11,1628,1480,148,High Price,Joseph Hill,Male
2024-05-24,May,Daniel,Zimmerman,Daniel Zimmerman,San Jose,1955-04-21,70,50-70,Mobile Payment,83,Pro04,Cinnamon Swirls,10,14,1162,830,332,High Price,April Watkins,Male
2024-05-18,May,Robin,Rodriguez,Robin Rodriguez,San Jose,1955-08-30,70,50-70,Cash,293,Pro01,Butter Crunch,10,11,3223,2930,293,High Price,Travis Doyle,Male
2024-06-24,Jun,Glenn,Hicks,Glenn Hicks,Phoenix,1951-08-15,74,70above,Debit Card,192,Pro02,Caramel Biscuits,18,22,4224,3456,768,High Price,Tracy Lee,Male
2024-04-14,Apr,Michael,Rodriguez,Michael Rodriguez,Phoenix,1956-01-06,69,50-70,Credit Card,325,Pro09,Shortbread,10,45,14625,3250,11375,High Price,Sara Robertson,Male
2024-03-17,Mar,David,Suarez,David Suarez,Philadelphia,1946-09-18,78,70above,Credit Card,140,Pro07,Oatmeal Cookies,19,23,3220,2660,560,High Price,Travis Doyle,Male
2024-02-06,Feb,Donna,Davila,Donna Davila,Chicago,1970-04-04,55,50-70,Cash,215,Pro05,Ginger Snaps,14,28,6020,3010,3010,High Price,Joseph Hill,Male
2024-05-16,May,Jack,White,Jack White,Houston,1994-09-26,30,11-30,Credit Card,449,Pro09,Shortbread,10,45,20205,4490,15715,High Price,Tracy Lee,Male
2024-07-04,Jul,Thomas,Brown,Thomas Brown,San Diego,1963-12-06,61,50-70,Mobile Payment,93,Pro03,Choco Delight,3,5,465,279,186,Low Price,Sara Robertson,Male
2024-04-09,Apr,Michael,Peterson,Michael Peterson,Dallas,1973-05-26,52,50-70,Credit Card,352,Pro02,Caramel Biscuits,18,22,7744,6336,1408,High Price,Travis Doyle,Male
2024-06-28,Jun,Eric,Higgins,Eric Higgins,Phoenix,1961-10-21,63,50-70,Credit Card,364,Pro09,Shortbread,10,45,16380,3640,12740,High Price,Joseph Hill,Male
2024-04-09,Apr,Aaron,Johnston,Aaron Johnston,San Jose,1975-10-24,49,31-50,Mobile Payment,16,Pro07,Oatmeal Cookies,19,23,368,304,64,High Price,Joseph Hill,Male
2024-05-01,May,Johnny,Norris,Johnny Norris,New York,1975-01-14,50,31-50,Mobile Payment,463,Pro01,Butter Crunch,10,11,5093,4630,463,High Price,April Watkins,Male
2024-04-25,Apr,Katie,Davila,Katie Davila,Chicago,1968-02-02,57,50-70,Mobile Payment,283,Pro09,Shortbread,10,45,12735,2830,9905,High Price,Travis Doyle,Male
2024-04-05,Apr,Kelly,Duffy,Kelly Duffy,Chicago,1985-01-02,40,31-50,Mobile Payment,242,Pro07,Oatmeal Cookies,19,23,5566,4598,968,High Price,Tracy Lee,Male
2024-07-06,Jul,Michael,Parker,Michael Parker,Phoenix,1959-06-28,66,50-70,Debit Card,424,Pro06,Lemon Crisps,7,9,3816,2968,848,Low Price,Sara Robertson,Male
2024-02-27,Feb,Michelle,Mcneil,Michelle Mcneil,Los Angeles,1982-08-03,43,31-50,Debit Card,477,Pro01,Butter Crunch,10,11,5247,4770,477,High Price,Travis Doyle,Male
2024-05-21,May,Steven,Cummings,Steven Cummings,Houston,1957-08-31,68,50-70,Cash,198,Pro05,Ginger Snaps,14,28,5544,2772,2772,High Price,Joseph Hill,Male
2024-05-01,May,Scott,Rowe,Scott Rowe,Dallas,2006-04-13,19,11-30,Debit Card,330,Pro10,Vanilla Wafers,18,36,11880,5940,5940,High Price,Tracy Lee,Male
2024-03-21,Mar,Nicholas,Griffin,Nicholas Griffin,San Antonio,1982-11-15,42,31-50,Credit Card,179,Pro05,Ginger Snaps,14,28,5012,2506,2506,High Price,Sara Robertson,Male
2024-04-27,Apr,Charlene,Robertson,Charlene Robertson,Dallas,2000-08-17,25,11-30,Credit Card,50,Pro08,Peanut Butter Bites,5,7,350,250,100,Low Price,Travis Doyle,Male
2024-03-15,Mar,Francisco,Mejia,Francisco Mejia,Phoenix,1956-01-30,69,50-70,Mobile Payment,456,Pro08,Peanut Butter Bites,5,7,3192,2280,912,Low Price,Joseph Hill,Male
2024-06-26,Jun,Gina,Williamson,Gina Williamson,San Diego,1969-02-11,56,50-70,Credit Card,293,Pro08,Peanut Butter Bites,5,7,2051,1465,586,Low Price,Joseph Hill,Male
2024-04-22,Apr,William,Walls,William Walls,Los Angeles,1945-10-23,79,70above,Mobile Payment,153,Pro05,Ginger Snaps,14,28,4284,2142,2142,High Price,April Watkins,Male
2024-01-18,Jan,Dawn,Porter,Dawn Porter,Phoenix,1984-04-12,41,31-50,Credit Card,78,Pro08,Peanut Butter Bites,5,7,546,390,156,Low Price,Travis Doyle,Male
2024-04-14,Apr,Spencer,Rivera,Spencer Rivera,Dallas,1951-08-08,74,70above,Debit Card,320,Pro09,Shortbread,10,45,14400,3200,11200,High Price,Tracy Lee,Male
2024-07-30,Jul,Michael,Mcdaniel,Michael Mcdaniel,Chicago,1993-12-29,31,31-50,Cash,259,Pro04,Cinnamon Swirls,10,14,3626,2590,1036,High Price,Sara Robertson,Male
2024-03-25,Mar,Adrian,Johnson,Adrian Johnson,Philadelphia,1956-02-07,69,50-70,Cash,483,Pro02,Caramel Biscuits,18,22,10626,8694,1932,High Price,Travis Doyle,Male
2024-03-11,Mar,Kyle,Matthews,Kyle Matthews,Houston,2003-04-28,22,11-30,Debit Card,390,Pro06,Lemon Crisps,7,9,3510,2730,780,Low Price,Joseph Hill,Male
2024-05-05,May,Michael,Wolf,Michael Wolf,Houston,1986-12-17,38,31-50,Debit Card,118,Pro06,Lemon Crisps,7,9,1062,826,236,Low Price,Tracy Lee,Male
2024-06-23,Jun,Luke,Frost,Luke Frost,Phoenix,1988-09-27,36,31-50,Debit Card,156,Pro06,Lemon Crisps,7,9,1404,1092,312,Low Price,Sara Robertson,Male
2024-04-17,Apr,Elizabeth,Flores,Elizabeth Flores,Los Angeles,1990-07-05,35,31-50,Cash,360,Pro06,Lemon Crisps,7,9,3240,2520,720,Low Price,Travis Doyle,Female
2024-04-19,Apr,Catherine,Parker,Catherine Parker,Philadelphia,1974-06-29,51,50-70,Mobile Payment,208,Pro10,Vanilla Wafers,18,36,7488,3744,3744,High Price,Joseph Hill,Male
2024-04-22,Apr,William,Dominguez,William Dominguez,Phoenix,1979-06-29,46,31-50,Debit Card,422,Pro10,Vanilla Wafers,18,36,15192,7596,7596,High Price,Joseph Hill,Male
2024-01-17,Jan,Ethan,Cortez,Ethan Cortez,Dallas,1998-10-21,26,11-30,Credit Card,329,Pro02,Caramel Biscuits,18,22,7238,5922,1316,High Price,April Watkins,Male
2024-06-06,Jun,George,Fritz,George Fritz,Houston,1962-07-14,63,50-70,Mobile Payment,324,Pro05,Ginger Snaps,14,28,9072,4536,4536,High Price,Travis Doyle,Male
2024-03-30,Mar,William,Gillespie,William Gillespie,New York,1954-11-03,70,50-70,Credit Card,40,Pro06,Lemon Crisps,7,9,360,280,80,Low Price,Tracy Lee,Male
2024-02-13,Feb,Dennis,Scott,Dennis Scott,Dallas,1947-01-12,78,70above,Credit Card,499,Pro06,Lemon Crisps,7,9,4491,3493,998,Low Price,Sara Robertson,Male
2024-02-06,Feb,Elizabeth,Fuller,Elizabeth Fuller,Phoenix,2005-07-04,20,11-30,Debit Card,351,Pro06,Lemon Crisps,7,9,3159,2457,702,Low Price,Travis Doyle,Female
2024-03-12,Mar,David,Mora,David Mora,Chicago,1955-09-14,69,50-70,Credit Card,29,Pro03,Choco Delight,3,5,145,87,58,Low Price,Joseph Hill,Male
2024-07-16,Jul,Christopher,Martin,Christopher Martin,Phoenix,1979-08-17,46,31-50,Cash,88,Pro03,Choco Delight,3,5,440,264,176,Low Price,Tracy Lee,Male
2024-03-31,Mar,Amanda,Hayes,Amanda Hayes,Phoenix,1954-09-14,70,50-70,Cash,189,Pro04,Cinnamon Swirls,10,14,2646,1890,756,High Price,Sara Robertson,Male
2024-06-28,Jun,Jo,Russell,Jo Russell,New York,1969-12-05,55,50-70,Debit Card,472,Pro10,Vanilla Wafers,18,36,16992,8496,8496,High Price,Travis Doyle,Male
2024-03-22,Mar,Kendra,Rodriguez,Kendra Rodriguez,New York,1953-12-06,71,70above,Debit Card,380,Pro04,Cinnamon Swirls,10,14,5320,3800,1520,High Price,Joseph Hill,Male
2024-04-03,Apr,John,Ward,John Ward,Houston,1980-01-11,45,31-50,Mobile Payment,296,Pro09,Shortbread,10,45,13320,2960,10360,High Price,Joseph Hill,Male
2024-07-20,Jul,George,Tate,George Tate,Houston,2005-03-16,20,11-30,Credit Card,236,Pro07,Oatmeal Cookies,19,23,5428,4484,944,High Price,April Watkins,Male
2024-04-05,Apr,Nancy,Martin,Nancy Martin,Houston,1976-12-22,48,31-50,Mobile Payment,163,Pro03,Choco Delight,3,5,815,489,326,Low Price,Travis Doyle,Male
2024-01-21,Jan,Blake,Clark,Blake Clark,San Jose,1994-04-01,31,31-50,Credit Card,428,Pro02,Caramel Biscuits,18,22,9416,7704,1712,High Price,Tracy Lee,Male
2024-04-27,Apr,Jeremy,Barry,Jeremy Barry,San Antonio,1947-08-21,78,70above,Cash,208,Pro06,Lemon Crisps,7,9,1872,1456,416,Low Price,Sara Robertson,Male
2024-01-12,Jan,Matthew,Adams,Matthew Adams,San Antonio,1976-12-01,48,31-50,Cash,264,Pro07,Oatmeal Cookies,19,23,6072,5016,1056,High Price,Travis Doyle,Male
2024-05-03,May,Patricia,Lewis,Patricia Lewis,Houston,1957-09-03,68,50-70,Mobile Payment,395,Pro06,Lemon Crisps,7,9,3555,2765,790,Low Price,Joseph Hill,Male
2024-03-21,Mar,Rodney,Holland,Rodney Holland,Philadelphia,1947-09-26,77,70above,Cash,184,Pro10,Vanilla Wafers,18,36,6624,3312,3312,High Price,Tracy Lee,Male
2024-04-15,Apr,Bryan,Espinoza,Bryan Espinoza,Los Angeles,1984-04-13,41,31-50,Debit Card,433,Pro06,Lemon Crisps,7,9,3897,3031,866,Low Price,Sara Robertson,Male
2024-06-03,Jun,Kayla,Davidson,Kayla Davidson,Los Angeles,1945-07-04,80,70above,Debit Card,63,Pro02,Caramel Biscuits,18,22,1386,1134,252,High Price,Travis Doyle,Male
2024-01-14,Jan,Frederick,Castillo,Frederick Castillo,Dallas,1954-02-27,71,70above,Debit Card,178,Pro05,Ginger Snaps,14,28,4984,2492,2492,High Price,Joseph Hill,Male
2024-06-01,Jun,Angel,Lucero,Angel Lucero,New York,1957-09-22,67,50-70,Debit Card,363,Pro08,Peanut Butter Bites,5,7,2541,1815,726,Low Price,Joseph Hill,Male
2024-07-20,Jul,Erin,Morrison,Erin Morrison,San Jose,1978-03-22,47,31-50,Mobile Payment,207,Pro01,Butter Crunch,10,11,2277,2070,207,High Price,April Watkins,Male
2024-07-02,Jul,Katherine,Johnson,Katherine Johnson,Los Angeles,1947-09-26,77,70above,Debit Card,55,Pro06,Lemon Crisps,7,9,495,385,110,Low Price,Travis Doyle,Male
2024-01-16,Jan,Randall,Nicholson,Randall Nicholson,Dallas,1972-06-05,53,50-70,Cash,421,Pro07,Oatmeal Cookies,19,23,9683,7999,1684,High Price,Tracy Lee,Male
2024-02-25,Feb,Christina,Callahan,Christina Callahan,Los Angeles,1994-10-09,30,11-30,Credit Card,104,Pro10,Vanilla Wafers,18,36,3744,1872,1872,High Price,Sara Robertson,Male
2024-06-13,Jun,Ann,Dorsey,Ann Dorsey,Philadelphia,1981-04-23,44,31-50,Debit Card,356,Pro05,Ginger Snaps,14,28,9968,4984,4984,High Price,Travis Doyle,Male
2024-03-26,Mar,Jason,Dominguez,Jason Dominguez,San Jose,1981-10-15,43,31-50,Debit Card,251,Pro07,Oatmeal Cookies,19,23,5773,4769,1004,High Price,Joseph Hill,Male
2024-01-10,Jan,Autumn,Knight,Autumn Knight,Phoenix,1978-09-04,47,31-50,Debit Card,396,Pro10,Vanilla Wafers,18,36,14256,7128,7128,High Price,Tracy Lee,Male
2024-01-03,Jan,Robert,Brown,Robert Brown,Houston,1965-09-06,60,50-70,Credit Card,289,Pro04,Cinnamon Swirls,10,14,4046,2890,1156,High Price,Sara Robertson,Male
2024-05-12,May,Mark,Miller,Mark Miller,Phoenix,1997-04-07,28,11-30,Mobile Payment,335,Pro04,Cinnamon Swirls,10,14,4690,3350,1340,High Price,Travis Doyle,Male
2024-03-14,Mar,Tracy,Adams,Tracy Adams,San Diego,1948-10-06,76,70above,Debit Card,186,Pro02,Caramel Biscuits,18,22,4092,3348,744,High Price,Joseph Hill,Male
2024-05-28,May,Scott,Johnson,Scott Johnson,Los Angeles,1951-12-11,73,70above,Debit Card,498,Pro06,Lemon Crisps,7,9,4482,3486,996,Low Price,Joseph Hill,Male
2024-05-19,May,Rebecca,Charles,Rebecca Charles,Los Angeles,1978-04-11,47,31-50,Debit Card,159,Pro07,Oatmeal Cookies,19,23,3657,3021,636,High Price,April Watkins,Male
2024-03-03,Mar,Erin,Thompson,Erin Thompson,San Antonio,1947-05-24,78,70above,Debit Card,413,Pro03,Choco Delight,3,5,2065,1239,826,Low Price,Travis Doyle,Male
2024-02-11,Feb,Michael,Krueger,Michael Krueger,Dallas,1994-04-02,31,31-50,Debit Card,450,Pro07,Oatmeal Cookies,19,23,10350,8550,1800,High Price,Tracy Lee,Male
2024-03-30,Mar,Robert,Richard,Robert Richard,Philadelphia,1954-05-18,71,70above,Credit Card,285,Pro01,Butter Crunch,10,11,3135,2850,285,High Price,Sara Robertson,Male
2024-01-27,Jan,Sean,Kelly,Sean Kelly,Chicago,1987-06-30,38,31-50,Credit Card,99,Pro06,Lemon Crisps,7,9,891,693,198,Low Price,Travis Doyle,Male
2024-05-18,May,William,Keith,William Keith,Chicago,1980-05-03,45,31-50,Cash,265,Pro01,Butter Crunch,10,11,2915,2650,265,High Price,Joseph Hill,Male
2024-04-22,Apr,Anna,Nelson,Anna Nelson,Dallas,1950-08-13,75,70above,Credit Card,339,Pro08,Peanut Butter Bites,5,7,2373,1695,678,Low Price,Tracy Lee,Male
2024-06-14,Jun,Cassandra,Gentry,Cassandra Gentry,San Jose,2003-11-27,21,11-30,Debit Card,247,Pro10,Vanilla Wafers,18,36,8892,4446,4446,High Price,Sara Robertson,Male
2024-01-26,Jan,Tommy,Waller,Tommy Waller,Phoenix,1945-01-22,80,70above,Credit Card,262,Pro07,Oatmeal Cookies,19,23,6026,4978,1048,High Price,Travis Doyle,Male
2024-01-16,Jan,Nathan,Mills,Nathan Mills,Phoenix,1994-01-15,31,31-50,Mobile Payment,96,Pro05,Ginger Snaps,14,28,2688,1344,1344,High Price,Joseph Hill,Male
2024-07-03,Jul,Antonio,Estrada,Antonio Estrada,Philadelphia,1953-09-23,71,70above,Credit Card,198,Pro07,Oatmeal Cookies,19,23,4554,3762,792,High Price,Joseph Hill,Male
2024-05-03,May,Marcus,Carlson,Marcus Carlson,New York,1969-12-02,55,50-70,Debit Card,41,Pro09,Shortbread,10,45,1845,410,1435,High Price,April Watkins,Male
2024-05-27,May,Thomas,Kirk,Thomas Kirk,Houston,1970-03-17,55,50-70,Debit Card,267,Pro10,Vanilla Wafers,18,36,9612,4806,4806,High Price,Travis Doyle,Male
2024-05-01,May,Michelle,Campbell,Michelle Campbell,Philadelphia,1990-02-11,35,31-50,Mobile Payment,164,Pro10,Vanilla Wafers,18,36,5904,2952,2952,High Price,Tracy Lee,Male
2024-05-21,May,Carla,Moss,Carla Moss,San Diego,1968-05-08,57,50-70,Mobile Payment,372,Pro01,Butter Crunch,10,11,4092,3720,372,High Price,Sara Robertson,Male
2024-04-04,Apr,Alyssa,Carter,Alyssa Carter,Chicago,1967-08-03,58,50-70,Cash,19,Pro05,Ginger Snaps,14,28,532,266,266,High Price,Travis Doyle,Male
2024-01-04,Jan,Jaime,Evans,Jaime Evans,Philadelphia,1977-08-02,48,31-50,Cash,316,Pro02,Caramel Biscuits,18,22,6952,5688,1264,High Price,Joseph Hill,Male
2024-04-11,Apr,Stephen,Simon,Stephen Simon,San Diego,1987-10-18,37,31-50,Credit Card,474,Pro08,Peanut Butter Bites,5,7,3318,2370,948,Low Price,Tracy Lee,Male
2024-03-31,Mar,Rita,Lewis,Rita Lewis,San Diego,1969-03-27,56,50-70,Debit Card,233,Pro02,Caramel Biscuits,18,22,5126,4194,932,High Price,Sara Robertson,Male
2024-05-21,May,Alejandra,Robinson,Alejandra Robinson,San Diego,1968-11-18,56,50-70,Credit Card,23,Pro05,Ginger Snaps,14,28,644,322,322,High Price,Travis Doyle,Male
2024-02-13,Feb,Brent,Cross,Brent Cross,Philadelphia,2002-08-05,23,11-30,Credit Card,79,Pro03,Choco Delight,3,5,395,237,158,Low Price,Joseph Hill,Male
2024-06-06,Jun,Jeffrey,Glover,Jeffrey Glover,San Antonio,1977-08-21,48,31-50,Mobile Payment,141,Pro04,Cinnamon Swirls,10,14,1974,1410,564,High Price,Joseph Hill,Male
2024-05-12,May,Heather,Thompson,Heather Thompson,San Diego,1993-01-10,32,31-50,Credit Card,403,Pro07,Oatmeal Cookies,19,23,9269,7657,1612,High Price,April Watkins,Male
2024-07-04,Jul,Abigail,Rodriguez,Abigail Rodriguez,Philadelphia,1947-06-11,78,70above,Debit Card,333,Pro09,Shortbread,10,45,14985,3330,11655,High Price,Travis Doyle,Male
2024-05-19,May,Chelsea,Cordova,Chelsea Cordova,Los Angeles,1993-08-26,32,31-50,Mobile Payment,75,Pro05,Ginger Snaps,14,28,2100,1050,1050,High Price,Tracy Lee,Male
2024-04-24,Apr,Rachel,Johnson,Rachel Johnson,San Diego,1948-07-07,77,70above,Cash,102,Pro01,Butter Crunch,10,11,1122,1020,102,High Price,Sara Robertson,Male
2024-03-03,Mar,Matthew,Mclaughlin,Matthew Mclaughlin,San Diego,1978-10-17,46,31-50,Debit Card,299,Pro07,Oatmeal Cookies,19,23,6877,5681,1196,High Price,Travis Doyle,Male
2024-03-30,Mar,Eric,Heath,Eric Heath,Philadelphia,1950-09-26,74,70above,Cash,337,Pro06,Lemon Crisps,7,9,3033,2359,674,Low Price,Joseph Hill,Male
2024-05-01,May,Thomas,Craig,Thomas Craig,San Jose,1961-01-22,64,50-70,Mobile Payment,44,Pro06,Lemon Crisps,7,9,396,308,88,Low Price,Tracy Lee,Male
2024-01-02,Jan,Jennifer,Jones,Jennifer Jones,San Diego,1950-05-20,75,70above,Mobile Payment,288,Pro10,Vanilla Wafers,18,36,10368,5184,5184,High Price,Sara Robertson,Female
2024-05-18,May,Christina,Smith,Christina Smith,Chicago,1997-12-03,27,11-30,Credit Card,293,Pro07,Oatmeal Cookies,19,23,6739,5567,1172,High Price,Travis Doyle,Male
2024-05-03,May,Benjamin,Walker,Benjamin Walker,Houston,1992-06-05,33,31-50,Mobile Payment,480,Pro06,Lemon Crisps,7,9,4320,3360,960,Low Price,Joseph Hill,Male
2024-07-29,Jul,Amanda,Webb,Amanda Webb,San Antonio,2002-02-23,23,11-30,Mobile Payment,253,Pro09,Shortbread,10,45,11385,2530,8855,High Price,Joseph Hill,Male
2024-01-27,Jan,Kimberly,Hughes,Kimberly Hughes,San Jose,1976-10-02,48,31-50,Credit Card,128,Pro06,Lemon Crisps,7,9,1152,896,256,Low Price,April Watkins,Male
2024-03-09,Mar,Stacey,Arias,Stacey Arias,Dallas,1947-08-23,78,70above,Debit Card,29,Pro08,Peanut Butter Bites,5,7,203,145,58,Low Price,Travis Doyle,Male
2024-01-25,Jan,Mark,Harrell,Mark Harrell,San Antonio,1997-12-18,27,11-30,Debit Card,72,Pro08,Peanut Butter Bites,5,7,504,360,144,Low Price,Tracy Lee,Male
2024-04-05,Apr,William,Jackson,William Jackson,Chicago,1956-05-18,69,50-70,Cash,276,Pro09,Shortbread,10,45,12420,2760,9660,High Price,Sara Robertson,Male
2024-01-01,Jan,Elizabeth,Murphy,Elizabeth Murphy,San Diego,1983-12-01,41,31-50,Credit Card,412,Pro02,Caramel Biscuits,18,22,9064,7416,1648,High Price,Travis Doyle,Female
2024-07-14,Jul,Michael,Collins,Michael Collins,Phoenix,1969-12-05,55,50-70,Credit Card,435,Pro07,Oatmeal Cookies,19,23,10005,8265,1740,High Price,Joseph Hill,Male
2024-07-12,Jul,Michele,Rice,Michele Rice,San Jose,1971-12-25,53,50-70,Mobile Payment,388,Pro02,Caramel Biscuits,18,22,8536,6984,1552,High Price,Tracy Lee,Male
2024-06-21,Jun,Jonathan,Brooks,Jonathan Brooks,Houston,2001-08-17,24,11-30,Debit Card,41,Pro01,Butter Crunch,10,11,451,410,41,High Price,Sara Robertson,Male
2024-07-31,Jul,John,Gomez,John Gomez,Chicago,1991-07-25,34,31-50,Mobile Payment,300,Pro05,Ginger Snaps,14,28,8400,4200,4200,High Price,Travis Doyle,Male
2024-03-24,Mar,Amber,Delacruz,Amber Delacruz,New York,1989-05-24,36,31-50,Mobile Payment,313,Pro02,Caramel Biscuits,18,22,6886,5634,1252,High Price,Joseph Hill,Male
2024-07-31,Jul,Shirley,Rogers,Shirley Rogers,Los Angeles,1954-10-14,70,50-70,Debit Card,393,Pro06,Lemon Crisps,7,9,3537,2751,786,Low Price,Joseph Hill,Male
2024-02-26,Feb,Craig,White,Craig White,Phoenix,1969-08-31,56,50-70,Credit Card,230,Pro09,Shortbread,10,45,10350,2300,8050,High Price,April Watkins,Male
2024-07-20,Jul,Kevin,Cochran,Kevin Cochran,Chicago,1983-04-12,42,31-50,Cash,270,Pro06,Lemon Crisps,7,9,2430,1890,540,Low Price,Travis Doyle,Male
2024-05-29,May,Shirley,Terry,Shirley Terry,Houston,1946-02-18,79,70above,Cash,285,Pro05,Ginger Snaps,14,28,7980,3990,3990,High Price,Tracy Lee,Male
2024-03-31,Mar,Jessica,Ferguson,Jessica Ferguson,Los Angeles,1970-11-27,54,50-70,Cash,254,Pro06,Lemon Crisps,7,9,2286,1778,508,Low Price,Sara Robertson,Male
2024-02-03,Feb,Cynthia,Miller,Cynthia Miller,Houston,1978-04-15,47,31-50,Cash,107,Pro01,Butter Crunch,10,11,1177,1070,107,High Price,Travis Doyle,Male
2024-05-23,May,Julian,Yang,Julian Yang,San Diego,1966-01-14,59,50-70,Cash,233,Pro03,Choco Delight,3,5,1165,699,466,Low Price,Joseph Hill,Male
2024-03-24,Mar,Amy,Fischer,Amy Fischer,San Antonio,1971-06-27,54,50-70,Debit Card,240,Pro08,Peanut Butter Bites,5,7,1680,1200,480,Low Price,Tracy Lee,Male
2024-05-02,May,Ashley,Fritz,Ashley Fritz,Dallas,1998-09-09,26,11-30,Cash,289,Pro06,Lemon Crisps,7,9,2601,2023,578,Low Price,Sara Robertson,Male
2024-07-14,Jul,Heather,Luna,Heather Luna,Los Angeles,2003-06-05,22,11-30,Cash,67,Pro07,Oatmeal Cookies,19,23,1541,1273,268,High Price,Travis Doyle,Male
2024-01-27,Jan,Jacqueline,Key,Jacqueline Key,Houston,1996-04-08,29,11-30,Mobile Payment,347,Pro06,Lemon Crisps,7,9,3123,2429,694,Low Price,Joseph Hill,Male
2024-04-20,Apr,Briana,Taylor,Briana Taylor,Chicago,1954-02-08,71,70above,Mobile Payment,255,Pro08,Peanut Butter Bites,5,7,1785,1275,510,Low Price,Joseph Hill,Male
2024-03-25,Mar,Daniel,Hood,Daniel Hood,Dallas,1979-10-07,45,31-50,Mobile Payment,118,Pro05,Ginger Snaps,14,28,3304,1652,1652,High Price,April Watkins,Male
2024-03-05,Mar,Jeffrey,Mcconnell,Jeffrey Mcconnell,Dallas,2003-06-05,22,11-30,Credit Card,218,Pro01,Butter Crunch,10,11,2398,2180,218,High Price,Travis Doyle,Male
2024-04-02,Apr,Melissa,Thompson,Melissa Thompson,Dallas,1965-05-09,60,50-70,Debit Card,452,Pro07,Oatmeal Cookies,19,23,10396,8588,1808,High Price,Tracy Lee,Male
2024-03-26,Mar,Jacob,Hart,Jacob Hart,Los Angeles,1982-05-06,43,31-50,Debit Card,33,Pro08,Peanut Butter Bites,5,7,231,165,66,Low Price,Sara Robertson,Male
2024-03-28,Mar,Christopher,Griffin,Christopher Griffin,Dallas,1988-03-07,37,31-50,Mobile Payment,183,Pro04,Cinnamon Swirls,10,14,2562,1830,732,High Price,Travis Doyle,Male
2024-03-21,Mar,Christopher,Carrillo,Christopher Carrillo,San Diego,1963-05-28,62,50-70,Mobile Payment,410,Pro05,Ginger Snaps,14,28,11480,5740,5740,High Price,Joseph Hill,Male
2024-01-07,Jan,David,Hammond,David Hammond,San Jose,1954-11-02,70,50-70,Credit Card,427,Pro06,Lemon Crisps,7,9,3843,2989,854,Low Price,Tracy Lee,Male
2024-03-02,Mar,Bob,Smith,Bob Smith,San Antonio,1963-10-06,61,50-70,Mobile Payment,472,Pro03,Choco Delight,3,5,2360,1416,944,Low Price,Sara Robertson,Male
2024-03-15,Mar,Chelsea,Bailey,Chelsea Bailey,San Antonio,1956-10-29,68,50-70,Cash,482,Pro07,Oatmeal Cookies,19,23,11086,9158,1928,High Price,Travis Doyle,Male
2024-01-30,Jan,Vanessa,Owens,Vanessa Owens,San Jose,1981-04-10,44,31-50,Debit Card,281,Pro07,Oatmeal Cookies,19,23,6463,5339,1124,High Price,Joseph Hill,Male
2024-03-14,Mar,Amanda,Valentine,Amanda Valentine,Phoenix,1999-09-04,26,11-30,Debit Card,179,Pro02,Caramel Biscuits,18,22,3938,3222,716,High Price,Joseph Hill,Male
2024-06-09,Jun,Dana,Richards,Dana Richards,Chicago,1958-07-13,67,50-70,Mobile Payment,26,Pro04,Cinnamon Swirls,10,14,364,260,104,High Price,April Watkins,Male
2024-01-25,Jan,Paula,Johnson,Paula Johnson,San Jose,1947-01-30,78,70above,Debit Card,96,Pro07,Oatmeal Cookies,19,23,2208,1824,384,High Price,Travis Doyle,Male
2024-04-29,Apr,Lucas,Jones,Lucas Jones,San Jose,1966-11-26,58,50-70,Debit Card,363,Pro03,Choco Delight,3,5,1815,1089,726,Low Price,Tracy Lee,Male
2024-01-09,Jan,Ryan,Lee,Ryan Lee,Phoenix,1953-04-29,72,70above,Credit Card,376,Pro02,Caramel Biscuits,18,22,8272,6768,1504,High Price,Sara Robertson,Male
2024-03-06,Mar,Yvonne,Wall,Yvonne Wall,San Antonio,1978-10-07,46,31-50,Debit Card,115,Pro01,Butter Crunch,10,11,1265,1150,115,High Price,Travis Doyle,Male
2024-04-08,Apr,William,Beasley,William Beasley,San Jose,1988-03-13,37,31-50,Debit Card,386,Pro09,Shortbread,10,45,17370,3860,13510,High Price,Joseph Hill,Male
